,x1,x2,x3,x4,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75,y76,y77,y78,y79,y80,y81,y82,y83,y84,y85,y86,y87,y88,y89,y90,y91,y92,y93,y94,y95,y96,y97,y98,y99,y100,y101
model75,0.25,150,395,90,8.734,181.55,12.065,181.551,3.7011,2.8545,10.2897,-0.4676,2.5518,2.0911,5.5029,0.0051,430.45,421.71,71859,5374.2,57.156,4.7101,0.0003,0.0785,-0.0307,0.0302,-0.0301,0.0302,-0.0681,0.0772,3.0971,3.0867,3.0617,3.0924,31.858,31.86,31.858,31.858,9.5841,9.5815,9.5832,9.5832,7.4602,7.4578,7.4605,7.4605,6.8195,6.8173,6.82,6.8198,4.613,0.0012,4.6111,0.0009,4.6127,0.0012,4.6122,0.0012,4.6121,0.001,4.6102,0.0009,4.6135,0.001,4.613,0.001,4.4033,0.0038,4.4116,0.0033,4.4047,0.0039,4.4062,0.004,4.3688,0.0006,4.3686,0.0009,4.3705,0.0009,4.3707,0.0007,4.4072,0.0039,4.4128,0.0038,4.4099,0.0047,4.4084,0.0039,4.3739,0.001,4.3738,0.001,4.374,0.0008,4.3728,0.0009,0.0089,0.0066,0.0086,0.0083,0.0028,0.0019,0.0024,0.0022
model76,0.25,135,395,80,7.7565,184.14,10.923,184.144,3.6915,2.8662,10.6322,-0.3392,2.5161,1.9449,5.4997,0.0061,430.03,421.64,71835,5447.043,51.101,4.1086,0.0003,0.0898,-0.0342,0.0336,-0.0333,0.0334,-0.0755,0.0887,2.9074,2.9073,2.8875,2.9102,31.8393,31.8414,31.8396,31.8394,9.5787,9.5763,9.5779,9.5776,7.4566,7.4539,7.4568,7.4568,6.8191,6.8168,6.8192,6.819,4.616,0.0013,4.6138,0.001,4.6154,0.0013,4.6148,0.0012,4.616,0.001,4.6132,0.001,4.6162,0.0011,4.616,0.0011,4.4019,0.0039,4.4101,0.0034,4.4032,0.0039,4.4049,0.004,4.3691,0.0007,4.369,0.001,4.3713,0.001,4.3716,0.001,4.4074,0.0041,4.412,0.0039,4.4098,0.0047,4.4088,0.0041,4.3739,0.0012,4.3738,0.0011,4.3739,0.0011,4.3729,0.0011,0.0096,0.0073,0.0094,0.009,0.003,0.0019,0.0027,0.0024
model77,0.5,125,375,100,7.3918,224.87,13.47,224.872,3.7089,2.8977,9.6439,-1.1763,1.815,1.5596,5.4472,0.0051,415.62,405.72,44073,3594.667,44.647,3.8438,0.0002,0.0753,-0.0286,0.0285,-0.0303,0.0298,-0.0632,0.0736,2.7797,2.7814,2.7575,2.7956,31.8694,31.8695,31.8688,31.8691,9.5873,9.5851,9.5864,9.5863,7.4619,7.4589,7.4618,7.4619,6.8198,6.8178,6.8195,6.8194,4.6159,0.0011,4.6134,0.0009,4.6159,0.0012,4.6157,0.0011,4.6155,0.001,4.6145,0.0009,4.6151,0.0011,4.6145,0.0011,4.3979,0.0035,4.4025,0.0026,4.3976,0.0032,4.3995,0.0033,4.3827,0.0013,4.3857,0.0015,4.3837,0.0014,4.3844,0.0011,4.4088,0.0038,4.4145,0.0037,4.411,0.0046,4.41,0.0039,4.3802,0.0012,4.3815,0.0012,4.3807,0.0011,4.3799,0.0012,0.0085,0.0065,0.0082,0.0082,0.0033,0.0032,0.0039,0.0036
model78,0.5,125,385,90,7.4169,198.79,11.869,198.793,3.6992,2.8881,9.7687,-0.7587,2.0543,1.597,5.4838,0.0059,419.99,412.18,43644,3446.316,46.071,3.8799,0.0003,0.0852,-0.0322,0.0319,-0.034,0.0332,-0.0706,0.0835,2.8753,2.8774,2.8515,2.8848,31.8513,31.8522,31.8511,31.8512,9.5808,9.5791,9.58,9.5798,7.4584,7.4555,7.4585,7.4586,6.8184,6.8165,6.8178,6.8177,4.616,0.0011,4.6138,0.0009,4.616,0.0012,4.6158,0.0011,4.6159,0.0009,4.6148,0.0009,4.6144,0.0011,4.6143,0.0011,4.3978,0.0035,4.4023,0.0027,4.398,0.0033,4.3999,0.0034,4.3814,0.0013,4.3844,0.0016,4.3826,0.0014,4.3829,0.0011,4.4099,0.004,4.4152,0.0038,4.4122,0.0047,4.4112,0.004,4.3791,0.0013,4.3806,0.0013,4.3795,0.0012,4.3787,0.0012,0.0089,0.007,0.0087,0.0086,0.0035,0.0033,0.004,0.0037
model79,0.25,135,385,120,8.0003,240.8,16.159,200.665,3.7339,2.8854,9.5851,-1.5018,1.6355,1.8979,4.9451,0.0031,423.03,415.1,82789,5728.943,48.501,4.1404,0.0006,0.045,-0.0191,0.0187,-0.0202,0.0206,-0.0415,0.0442,2.7102,2.6944,2.683,2.7104,31.9184,31.92,31.9184,31.9185,9.6034,9.6001,9.6024,9.6023,7.4711,7.4693,7.4716,7.4715,6.8287,6.8262,6.8292,6.8292,4.6187,0.0012,4.6167,0.0009,4.6186,0.0013,4.6185,0.0012,4.6181,0.0012,4.6164,0.001,4.6196,0.0012,4.619,0.0011,4.4041,0.0036,4.4141,0.003,4.4053,0.0037,4.4075,0.0038,4.3761,0.0005,4.3762,0.001,4.3779,0.0009,4.3785,0.0008,4.4062,0.0036,4.4141,0.0036,4.4102,0.0045,4.4084,0.0038,4.3806,0.0009,4.3808,0.001,4.3811,0.0009,4.3801,0.0009,0.0081,0.0049,0.0073,0.0071,0.0026,0.0027,0.0023,0.0023
model80,0.75,135,385,90,7.9573,195.19,11.221,195.191,3.6924,2.8862,9.7132,-0.5854,2.1889,1.549,5.4965,0.006,412.93,407.09,35795,2518.486,48.883,4.3315,0.0004,0.0942,-0.0329,0.0336,-0.035,0.0347,-0.0755,0.0919,3.2204,3.2198,3.1921,3.2375,31.8385,31.8372,31.8372,31.8372,9.5768,9.5756,9.5768,9.577,7.4557,7.4514,7.4551,7.4548,6.8131,6.8116,6.8122,6.812,4.6113,0.001,4.6095,0.0008,4.6106,0.0011,4.6102,0.001,4.6113,0.0009,4.61,0.0008,4.6095,0.001,4.6093,0.001,4.3946,0.0029,4.3957,0.0023,4.3929,0.0029,4.3938,0.0031,4.3792,0.001,4.3835,0.0014,4.3802,0.0013,4.379,0.001,4.408,0.0037,4.4115,0.0037,4.4081,0.0043,4.4062,0.0037,4.3793,0.0013,4.3815,0.0015,4.3799,0.0013,4.3784,0.0013,0.0078,0.0069,0.0079,0.0078,0.0036,0.0041,0.0045,0.0042
model81,0.5,165,395,80,9.9527,157.07,9.22,157.068,3.674,2.844,10.6507,0.2209,3.1056,2.0198,5.5213,0.0066,422.82,417.28,40833,3014.535,69.26,5.6413,0.0014,0.1058,-0.0392,0.0381,-0.0391,0.0383,-0.089,0.1039,3.6351,3.6207,3.5862,3.6219,31.8095,31.8117,31.8094,31.8095,9.5686,9.5677,9.5677,9.5678,7.4501,7.4468,7.4501,7.4501,6.8093,6.8073,6.809,6.8091,4.6063,0.0008,4.6038,0.0006,4.6049,0.001,4.6055,0.0009,4.6057,0.0008,4.604,0.0007,4.6054,0.0008,4.6054,0.0008,4.3983,0.0036,4.4029,0.0032,4.3984,0.0034,4.3995,0.0034,4.3634,0.0006,4.3637,0.0008,4.3672,0.0009,4.3671,0.0008,4.4041,0.0038,4.4075,0.0036,4.4059,0.0044,4.4046,0.0038,4.3677,0.001,4.3672,0.001,4.3674,0.0008,4.3664,0.0009,0.0082,0.0066,0.0082,0.0077,0.0025,0.0017,0.0024,0.0021
model82,0.5,135,395,80,8.0483,167.2,9.4449,167.202,3.6777,2.8694,10.5972,-0.1028,2.657,1.7965,5.5107,0.0099,424.36,417.79,43343,3277.389,51.172,4.1932,0.001,0.1055,-0.0384,0.0379,-0.0398,0.0396,-0.0859,0.1034,3.1029,3.1129,3.076,3.1082,31.8143,31.8159,31.8141,31.8146,9.5702,9.5686,9.5692,9.569,7.4508,7.4477,7.4508,7.451,6.8126,6.8105,6.8124,6.8126,4.6123,0.001,4.6094,0.0009,4.6123,0.0011,4.6122,0.0011,4.6119,0.0009,4.6103,0.0008,4.6117,0.001,4.6122,0.001,4.3962,0.0035,4.4005,0.0029,4.3966,0.0033,4.3983,0.0034,4.372,0.0011,4.376,0.0015,4.3763,0.0014,4.3766,0.0013,4.4062,0.004,4.4109,0.0037,4.4079,0.0046,4.4078,0.004,4.3729,0.0013,4.3735,0.0012,4.3729,0.0012,4.3724,0.0012,0.0089,0.0069,0.0091,0.0087,0.0028,0.0025,0.0032,0.0028
model83,0.25,165,395,100,10.1686,179.26,13.181,179.259,3.7113,2.8435,10.296,-0.6395,2.6038,2.3289,5.4638,0.004,430.76,421.72,70817,5256.481,68.6,5.6466,0.0002,0.0658,-0.0265,0.0261,-0.0263,0.0265,-0.0598,0.0647,3.3534,3.3209,3.2846,3.3291,31.8785,31.88,31.8781,31.8785,9.5903,9.5874,9.5893,9.5894,7.4634,7.461,7.4636,7.4636,6.8196,6.8179,6.82,6.8198,4.6099,0.0009,4.609,0.0007,4.6098,0.001,4.6096,0.0009,4.6096,0.001,4.6085,0.0008,4.6104,0.001,4.6095,0.0009,4.4025,0.0035,4.4106,0.003,4.4036,0.0037,4.4053,0.0038,4.3679,0.0006,4.3677,0.0008,4.3695,0.0008,4.3697,0.0006,4.4046,0.0036,4.4109,0.0035,4.4078,0.0044,4.4056,0.0037,4.3736,0.0009,4.3734,0.001,4.3737,0.0007,4.3726,0.0008,0.0077,0.0052,0.0073,0.0068,0.0024,0.0023,0.0022,0.002
model84,0.75,150,375,90,8.764,219.5,12.092,219.504,3.699,2.8824,9.7865,-0.6494,2.1682,1.5845,5.4996,0.0052,408.86,401.14,33599,2473.743,54.297,4.8524,0.0001,0.0859,-0.0309,0.0312,-0.0343,0.0339,-0.0705,0.0835,3.3888,3.3741,3.3392,3.3908,31.8503,31.8509,31.8496,31.8506,9.5801,9.5787,9.5799,9.5802,7.4583,7.4548,7.4581,7.458,6.8132,6.812,6.8124,6.8124,4.609,0.0009,4.6081,0.0007,4.6082,0.001,4.6083,0.0009,4.6089,0.0008,4.6083,0.0007,4.6074,0.0009,4.6071,0.0009,4.3988,0.0031,4.4015,0.0026,4.3975,0.0032,4.3987,0.0033,4.3776,0.0011,4.3816,0.0014,4.38,0.0013,4.3795,0.001,4.4075,0.0038,4.4119,0.0036,4.4089,0.0044,4.407,0.0037,4.3752,0.001,4.3764,0.0012,4.3755,0.0009,4.3744,0.0009,0.0076,0.0062,0.0076,0.0075,0.0027,0.003,0.0034,0.0031
model85,0.25,135,395,100,7.9544,184.14,13.211,184.144,3.7116,2.8696,10.1516,-0.8669,2.1728,1.9856,5.4318,0.0047,428.97,421.65,71835,5453.091,50.423,4.172,0.0002,0.0683,-0.0275,0.0269,-0.0272,0.0275,-0.06,0.0674,2.8299,2.8228,2.8092,2.8345,31.8771,31.8791,31.8775,31.8772,9.5902,9.5874,9.5894,9.589,7.4639,7.4618,7.4643,7.4642,6.8243,6.8217,6.8244,6.8244,4.6179,0.0013,4.6158,0.001,4.6171,0.0013,4.6169,0.0013,4.6177,0.001,4.6147,0.001,4.6182,0.0012,4.6179,0.0011,4.4038,0.0039,4.413,0.0033,4.4052,0.0038,4.4072,0.004,4.3735,0.0006,4.3737,0.001,4.3756,0.001,4.376,0.0009,4.4085,0.0039,4.4146,0.0038,4.4115,0.0047,4.4103,0.004,4.3782,0.0011,4.3784,0.0011,4.3784,0.001,4.3774,0.001,0.0092,0.0066,0.0087,0.0085,0.0029,0.0021,0.0026,0.0023
model86,0.75,150,385,100,8.9157,188.49,12.224,188.486,3.7022,2.878,9.8359,-0.6641,2.2113,1.7338,5.5064,0.005,411.95,406.51,33877,2401.437,55.011,4.94,0.0002,0.0817,-0.03,0.03,-0.0332,0.0332,-0.0681,0.0798,3.4088,3.4072,3.377,3.4098,31.8567,31.8575,31.8565,31.8574,9.5819,9.5805,9.5819,9.5821,7.4596,7.4561,7.4594,7.4594,6.8147,6.813,6.8137,6.8138,4.61,0.0009,4.6081,0.0007,4.6081,0.001,4.6086,0.0009,4.609,0.0009,4.6082,0.0008,4.6077,0.001,4.6077,0.0009,4.4001,0.0031,4.4027,0.0026,4.3986,0.0032,4.4001,0.0033,4.378,0.0011,4.383,0.0014,4.3809,0.0014,4.3805,0.0011,4.4081,0.0038,4.4124,0.0037,4.4095,0.0045,4.4078,0.0038,4.376,0.001,4.377,0.0012,4.3763,0.0008,4.3754,0.0009,0.0076,0.0061,0.0077,0.0075,0.0027,0.003,0.0034,0.0031
model87,0.5,125,395,90,7.4705,171.8,10.864,171.799,3.6918,2.8792,10.4402,-0.5197,2.2831,1.7338,5.491,0.0062,425.0,418.3,43826,3361.162,47.482,3.9273,0.0002,0.0924,-0.034,0.034,-0.0368,0.0361,-0.0763,0.0906,2.9439,2.9548,2.9125,2.9508,31.8389,31.8392,31.8383,31.8383,9.5767,9.5749,9.5758,9.5754,7.4562,7.4529,7.4561,7.4561,6.817,6.8154,6.8163,6.8164,4.6149,0.0011,4.6139,0.0009,4.6146,0.0012,4.6145,0.0012,4.6155,0.0009,4.6146,0.0009,4.6137,0.0011,4.6142,0.0011,4.3988,0.0035,4.4026,0.0028,4.3987,0.0034,4.4005,0.0035,4.3784,0.0012,4.3827,0.0016,4.381,0.0014,4.3815,0.0012,4.4102,0.0041,4.4151,0.0039,4.4121,0.0048,4.4115,0.0042,4.3778,0.0013,4.3793,0.0013,4.3778,0.0012,4.3771,0.0012,0.009,0.0074,0.0091,0.0089,0.0032,0.0031,0.0038,0.0035
model88,0.75,165,375,80,9.8416,208.23,10.6,208.225,3.6853,2.8658,9.6647,-0.1639,2.5889,1.6539,5.5244,0.0058,408.63,401.52,33254,2340.054,64.454,5.6106,0.0007,0.0976,-0.036,0.0353,-0.0371,0.0374,-0.0811,0.0955,3.6812,3.6693,3.6048,3.675,31.8263,31.8283,31.8265,31.8271,9.573,9.5719,9.5732,9.5734,7.4533,7.45,7.453,7.453,6.8087,6.8073,6.8079,6.8078,4.6053,0.0007,4.6035,0.0006,4.6042,0.0008,4.6038,0.0008,4.6047,0.0007,4.6037,0.0006,4.6038,0.0008,4.6035,0.0007,4.3986,0.0033,4.4023,0.0029,4.3974,0.0033,4.3986,0.0034,4.3677,0.0007,4.3702,0.0011,4.3713,0.0011,4.3711,0.0009,4.4046,0.0038,4.4083,0.0036,4.4051,0.0043,4.4036,0.0037,4.3686,0.0009,4.3685,0.0009,4.3685,0.0007,4.3674,0.0008,0.0078,0.0061,0.0078,0.0075,0.0024,0.002,0.0027,0.0024
model89,0.25,150,375,80,8.3069,240.38,11.44,210.061,3.6904,2.8727,9.8685,-0.37,2.4671,1.744,5.5191,0.0058,421.64,408.87,102340,5824.778,54.981,4.4367,0.0004,0.09,-0.0345,0.0339,-0.0327,0.0329,-0.0761,0.0884,2.949,2.9236,2.9104,2.9462,31.8384,31.84,31.8381,31.8382,9.578,9.5754,9.5769,9.5771,7.4565,7.4539,7.4569,7.4568,6.8153,6.813,6.8156,6.8152,4.6107,0.0011,4.6079,0.0009,4.61,0.0011,4.6095,0.0011,4.6097,0.0009,4.6079,0.0009,4.6108,0.001,4.6104,0.001,4.403,0.004,4.411,0.0035,4.4051,0.004,4.4065,0.0041,4.3644,0.0005,4.364,0.0008,4.3655,0.0007,4.3655,0.0007,4.4065,0.004,4.4113,0.0038,4.4091,0.0047,4.4073,0.0039,4.37,0.001,4.3695,0.0009,4.3696,0.0008,4.3687,0.0008,0.0097,0.0072,0.0093,0.0088,0.003,0.002,0.0026,0.0024
model90,0.5,135,375,80,7.702,219.65,11.307,219.652,3.6904,2.8831,9.5367,-0.5359,2.2177,1.5504,5.4993,0.0062,415.98,405.62,43348,3519.208,47.844,4.0807,0.0002,0.093,-0.0347,0.0342,-0.0364,0.0361,-0.077,0.0911,2.9321,2.9435,2.9068,2.9362,31.8365,31.838,31.8364,31.8368,9.5761,9.5747,9.5753,9.575,7.4561,7.4527,7.4562,7.4563,6.8159,6.8137,6.8152,6.8156,4.6138,0.0011,4.6111,0.0009,4.6131,0.0012,4.6139,0.0011,4.6138,0.0009,4.6122,0.0008,4.6126,0.001,4.6129,0.001,4.3998,0.0037,4.4034,0.003,4.3998,0.0034,4.4018,0.0035,4.3746,0.001,4.3788,0.0015,4.379,0.0015,4.379,0.0012,4.4096,0.004,4.4136,0.0038,4.4116,0.0047,4.4111,0.0041,4.3744,0.0012,4.3748,0.0011,4.3747,0.0011,4.3738,0.0011,0.0091,0.0073,0.009,0.0087,0.003,0.0025,0.0032,0.0028
model91,0.75,150,375,100,8.8546,219.5,13.035,219.504,3.7077,2.8878,9.3972,-0.9023,1.9813,1.5766,5.5024,0.0045,408.86,400.96,33599,2474.67,53.025,4.8892,0.0003,0.077,-0.028,0.0281,-0.0311,0.0309,-0.0638,0.0748,3.3664,3.3628,3.3322,3.3669,31.8661,31.8663,31.8655,31.8663,9.5856,9.5839,9.5853,9.5855,7.4608,7.4575,7.4607,7.4606,6.8148,6.8134,6.8142,6.8141,4.6098,0.0008,4.6083,0.0007,4.6089,0.0009,4.6086,0.0009,4.6091,0.0008,4.6085,0.0007,4.6083,0.0009,4.6078,0.0008,4.3977,0.0029,4.4009,0.0024,4.3966,0.003,4.3981,0.0032,4.3789,0.0011,4.3833,0.0014,4.3812,0.0013,4.3807,0.001,4.4058,0.0036,4.4111,0.0035,4.4079,0.0043,4.4059,0.0036,4.3767,0.001,4.3781,0.0012,4.3772,0.0008,4.3761,0.0009,0.007,0.0056,0.007,0.007,0.0027,0.0032,0.0034,0.0031
model92,0.75,150,395,90,8.8265,159.1,9.9873,159.095,3.6832,2.8647,10.4723,-0.1001,2.6607,1.8252,5.5142,0.0063,419.5,412.89,34225,2373.916,57.338,4.929,0.0005,0.1008,-0.0364,0.0362,-0.0393,0.0392,-0.0827,0.0982,3.5286,3.5339,3.4766,3.5313,31.823,31.8236,31.8227,31.8233,9.5715,9.5702,9.5713,9.5715,7.4528,7.4491,7.4526,7.4525,6.8108,6.8094,6.8101,6.8099,4.6083,0.0009,4.6073,0.0007,4.6083,0.001,4.6078,0.0009,4.6086,0.0008,4.6075,0.0008,4.6067,0.0009,4.6064,0.0009,4.3982,0.0032,4.4007,0.0028,4.3975,0.0033,4.3985,0.0034,4.3744,0.0012,4.379,0.0014,4.3778,0.0014,4.3771,0.0011,4.4073,0.0039,4.4108,0.0038,4.4084,0.0045,4.4067,0.0039,4.3729,0.0011,4.3736,0.0012,4.3728,0.0009,4.3718,0.001,0.0083,0.007,0.0085,0.0082,0.0027,0.0028,0.0034,0.0031
model93,0.25,125,385,120,7.5088,241.0,15.769,200.835,3.7314,2.8918,9.5905,-1.558,1.5663,1.7875,5.122,0.0034,422.62,415.26,84803,5873.727,45.403,3.8135,0.0006,0.049,-0.0202,0.02,-0.0211,0.0212,-0.0436,0.0482,2.5936,2.587,2.5782,2.5942,31.9125,31.9145,31.9126,31.9128,9.602,9.599,9.601,9.6009,7.47,7.4681,7.4704,7.4704,6.8282,6.8255,6.8287,6.8288,4.62,0.0013,4.6174,0.001,4.6199,0.0014,4.62,0.0013,4.6194,0.0011,4.6175,0.001,4.621,0.0012,4.6206,0.0011,4.4026,0.0036,4.4125,0.0029,4.4039,0.0036,4.4062,0.0038,4.3776,0.0006,4.3779,0.001,4.3796,0.0011,4.38,0.0009,4.4061,0.0036,4.4134,0.0035,4.4103,0.0045,4.4085,0.0038,4.3818,0.001,4.3821,0.001,4.3823,0.0009,4.3813,0.001,0.0083,0.0052,0.0075,0.0074,0.0028,0.0027,0.0025,0.0024
model94,0.75,165,395,90,10.0501,150.95,9.6089,150.951,3.6783,2.8514,10.5333,0.083,2.9264,1.9054,5.5195,0.0064,417.7,412.79,32582,2257.5,68.94,5.7934,0.0008,0.1035,-0.038,0.0373,-0.0392,0.0394,-0.0862,0.1016,3.7968,3.7937,3.7572,3.7961,31.8151,31.8173,31.8153,31.8161,9.5696,9.5687,9.5696,9.5697,7.4511,7.4477,7.4508,7.451,6.8081,6.8069,6.8073,6.8075,4.6052,0.0007,4.6034,0.0006,4.6036,0.0009,4.6036,0.0008,4.6043,0.0008,4.6042,0.0006,4.6034,0.0008,4.6035,0.0007,4.3986,0.0033,4.4023,0.0031,4.3977,0.0034,4.3993,0.0035,4.3671,0.0007,4.3689,0.001,4.3704,0.001,4.3701,0.0008,4.4047,0.0039,4.4082,0.0036,4.4053,0.0044,4.4045,0.0039,4.3689,0.001,4.3688,0.001,4.3687,0.0008,4.3677,0.0009,0.0081,0.0065,0.0084,0.0078,0.0023,0.0021,0.0028,0.0025
model95,0.75,150,375,80,8.6256,219.5,10.847,219.504,3.6868,2.8772,9.4487,-0.3745,2.3706,1.5445,5.5104,0.0061,408.86,401.22,33599,2448.527,53.652,4.8002,0.0006,0.0984,-0.0351,0.0353,-0.0376,0.0371,-0.0797,0.0955,3.374,3.3698,3.345,3.3734,31.8284,31.829,31.828,31.8287,9.5735,9.5726,9.5735,9.5737,7.4539,7.45,7.4536,7.4535,6.8098,6.8089,6.8094,6.8093,4.6074,0.0009,4.6066,0.0007,4.6076,0.0009,4.6074,0.0008,4.6071,0.0008,4.607,0.0007,4.6064,0.0009,4.6061,0.0009,4.3971,0.0031,4.3986,0.0026,4.3956,0.0031,4.3967,0.0032,4.3748,0.0011,4.3788,0.0013,4.3774,0.0013,4.3768,0.001,4.4064,0.0038,4.4095,0.0036,4.4072,0.0043,4.4055,0.0037,4.3731,0.0011,4.3741,0.0012,4.3731,0.001,4.372,0.0009,0.0079,0.0067,0.008,0.0079,0.0027,0.0029,0.0034,0.0031
model96,0.75,150,385,120,9.0992,226.18,14.138,188.486,3.7198,2.8826,9.3621,-1.1171,1.8556,1.7067,5.3926,0.0037,412.07,406.56,33877,2466.627,54.314,5.0159,0.0002,0.0632,-0.0235,0.0237,-0.0269,0.0271,-0.0537,0.0617,3.3833,3.3804,3.3632,3.3846,31.8895,31.8901,31.8891,31.8901,9.5931,9.5911,9.5929,9.5929,7.465,7.462,7.4649,7.465,6.8187,6.8168,6.8176,6.8177,4.6111,0.0009,4.6096,0.0007,4.6096,0.001,4.6097,0.0009,4.6105,0.0009,4.6095,0.0008,4.6089,0.0011,4.6086,0.0009,4.3986,0.0029,4.4027,0.0023,4.3973,0.003,4.3993,0.0031,4.3809,0.001,4.3864,0.0014,4.3839,0.0014,4.3835,0.0011,4.4055,0.0035,4.4112,0.0034,4.4077,0.0042,4.406,0.0036,4.3791,0.001,4.3803,0.0012,4.3798,0.0008,4.3788,0.0009,0.0066,0.0048,0.0067,0.0064,0.0027,0.0036,0.0036,0.0034
model97,0.75,150,395,120,9.1119,190.91,12.815,159.095,3.71,2.8722,10.0459,-0.7882,2.1819,1.8772,5.4816,0.0044,418.76,412.74,34225,2500.689,56.392,5.053,0.0003,0.0733,-0.027,0.0274,-0.0307,0.0308,-0.0616,0.0717,3.4476,3.4477,3.426,3.4527,31.8714,31.8725,31.8711,31.8721,9.5871,9.5852,9.5867,9.5869,7.4619,7.459,7.462,7.4619,6.8168,6.815,6.8159,6.8161,4.6107,0.0009,4.6086,0.0007,4.6088,0.001,4.6095,0.0009,4.6096,0.0009,4.609,0.0008,4.6087,0.001,4.6085,0.0009,4.3993,0.0031,4.4035,0.0026,4.3988,0.0032,4.4003,0.0033,4.3798,0.0011,4.385,0.0014,4.3833,0.0015,4.3824,0.0011,4.407,0.0037,4.4124,0.0036,4.4094,0.0044,4.4074,0.0037,4.378,0.001,4.379,0.0012,4.3784,0.0008,4.3773,0.0009,0.0073,0.0054,0.0073,0.0071,0.0028,0.0033,0.0034,0.0032
model98,0.5,150,385,90,8.7183,187.83,11.521,187.828,3.6952,2.8701,9.9123,-0.4171,2.4122,1.7945,5.5114,0.0056,418.29,410.96,41935,3231.135,55.714,4.746,0.0003,0.0865,-0.0333,0.0323,-0.0346,0.0342,-0.0739,0.0845,3.2108,3.2055,3.1601,3.2098,31.8461,31.8478,31.8458,31.8462,9.5795,9.5779,9.5784,9.5785,7.4579,7.4548,7.458,7.4581,6.8161,6.8136,6.816,6.8159,4.6118,0.001,4.6086,0.0008,4.6114,0.0011,4.6113,0.001,4.6111,0.0009,4.6091,0.0008,4.6114,0.001,4.6111,0.0009,4.4015,0.0037,4.4061,0.0031,4.4016,0.0035,4.4031,0.0036,4.3706,0.0007,4.3726,0.001,4.3752,0.0012,4.3748,0.001,4.4079,0.004,4.4126,0.0037,4.4104,0.0047,4.4092,0.004,4.3732,0.001,4.3732,0.0011,4.3734,0.0009,4.3724,0.0009,0.0087,0.0067,0.0086,0.0083,0.0027,0.0021,0.0027,0.0024
model99,0.5,125,395,80,7.4738,171.8,9.715,171.799,3.6814,2.8766,10.7553,-0.2741,2.501,1.7826,5.4971,0.0097,425.0,418.13,43826,3373.924,48.076,3.8905,0.0007,0.1029,-0.037,0.0368,-0.0393,0.0388,-0.083,0.1011,2.9675,2.9786,2.9277,2.9723,31.8207,31.8211,31.8199,31.82,9.5713,9.5697,9.5707,9.5706,7.4524,7.449,7.4518,7.4517,6.8141,6.8125,6.8134,6.8137,4.6132,0.0011,4.6121,0.0009,4.614,0.0012,4.614,0.0011,4.6141,0.0009,4.613,0.0009,4.612,0.001,4.6127,0.0011,4.3968,0.0035,4.4005,0.0028,4.3961,0.0033,4.397,0.0034,4.3759,0.0013,4.3797,0.0016,4.3782,0.0014,4.3786,0.0012,4.4088,0.004,4.4132,0.0038,4.4094,0.0047,4.4084,0.0041,4.3756,0.0014,4.3769,0.0014,4.3754,0.0013,4.3747,0.0013,0.0086,0.0071,0.009,0.0091,0.0031,0.0031,0.0037,0.0034
model100,0.75,125,385,80,7.5943,201.38,10.3,201.379,3.6846,2.8885,9.9318,-0.4914,2.2842,1.568,5.4901,0.0085,414.53,407.62,36711,2573.408,46.008,3.9892,0.0003,0.1041,-0.0352,0.0359,-0.036,0.0349,-0.0805,0.1019,3.1194,3.1153,3.079,3.1392,31.8238,31.8227,31.8213,31.8213,9.5736,9.573,9.5726,9.5731,7.4518,7.4473,7.4512,7.4506,6.8112,6.8108,6.8101,6.8102,4.6107,0.001,4.6112,0.0008,4.6115,0.0011,4.6114,0.001,4.6123,0.0008,4.612,0.0008,4.609,0.001,4.6103,0.0009,4.3878,0.0023,4.3872,0.0018,4.3886,0.0025,4.3882,0.0027,4.3768,0.0009,4.3791,0.0012,4.3751,0.001,4.3737,0.0008,4.4054,0.0036,4.4075,0.0035,4.4054,0.0041,4.4032,0.0035,4.3813,0.0016,4.3821,0.0016,4.3787,0.0014,4.378,0.0013,0.0076,0.0069,0.0072,0.0076,0.0042,0.0043,0.0044,0.0043
